Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
DIFGSM,6405,True,9.718209266662598,128,Trivial Default.csv,
DIFGSM,10143,True,9.535943984985352,202,Trivial Default.csv,
DIFGSM,5805,True,10.160841941833496,116,Trivial Default.csv,
DIFGSM,14611,True,9.580740928649902,292,Trivial Default.csv,
DIFGSM,13075,True,9.667461395263672,261,Trivial Default.csv,
DIFGSM,30698,True,9.472887992858888,613,Trivial Default.csv,
DIFGSM,91,True,9.609789848327637,1,Trivial Default.csv,
DIFGSM,3993,True,9.466461181640623,79,Trivial Default.csv,
DIFGSM,25040,True,9.762486457824709,500,Trivial Default.csv,
DIFGSM,49504,True,10.011625289916992,990,Trivial Default.csv,
DIFGSM,30471,True,10.100635528564451,609,Trivial Default.csv,
DIFGSM,29886,True,9.895522117614746,597,Trivial Default.csv,
DIFGSM,7337,True,10.029584884643556,146,Trivial Default.csv,
DIFGSM,49287,True,9.885706901550291,985,Trivial Default.csv,
DIFGSM,1991,True,9.693547248840332,39,Trivial Default.csv,
DIFGSM,885,True,9.56670093536377,17,Trivial Default.csv,
DIFGSM,2223,True,9.23559856414795,44,Trivial Default.csv,
DIFGSM,49943,True,9.178115844726562,998,Trivial Default.csv,
DIFGSM,42010,True,10.054396629333496,840,Trivial Default.csv,
DIFGSM,819,True,9.968083381652832,16,Trivial Default.csv,
DIFGSM,15923,True,9.952064514160156,318,Trivial Default.csv,
DIFGSM,21678,True,10.26584243774414,433,Trivial Default.csv,
DIFGSM,26085,True,9.776714324951172,521,Trivial Default.csv,
DIFGSM,12664,True,9.695783615112305,253,Trivial Default.csv,
DIFGSM,34350,True,9.793407440185549,687,Trivial Default.csv,
DIFGSM,19658,True,9.775554656982422,393,Trivial Default.csv,
MIFGSM,31502,True,10.597813606262209,630,Trivial Default.csv,
MIFGSM,33014,True,10.494976043701172,660,Trivial Default.csv,
MIFGSM,34638,True,10.155009269714355,692,Trivial Default.csv,
MIFGSM,29785,True,10.617140769958496,595,Trivial Default.csv,
MIFGSM,21816,True,10.064400672912598,436,Trivial Default.csv,
